,mse,mae,r2
KNN(best),2989.0639101836964,43.436973376299505,0.4594517921573833
LinearRegression,2848.3106508475043,41.54850685988059,0.4849058889476757
RandomForest,2967.9368047297294,43.3394144144144,0.4632724595412875
