,accuracy,precision_macro,recall_macro,f1_macro
KNN(best),0.9473684210526315,0.9555555555555556,0.9487179487179488,0.9484126984126985
LogisticRegression,0.9210526315789473,0.9246031746031745,0.923076923076923,0.9229629629629629
RandomForest,0.8947368421052632,0.903030303030303,0.8974358974358975,0.8968253968253969
