task,accuracy,precision_macro,recall_macro,f1_macro,mse,mae,r2
iris,0.9473684210526315,0.9555555555555556,0.9487179487179488,0.9484126984126985,,,
diabetes,,,,,2989.0639101836964,43.436973376299505,0.4594517921573833
